company_id,period,year,free_cash_flow_cr,capex_cr,capex_intensity_pct,fcf_conversion_rate_pct,capital_allocation_pattern
AXISBANK,Mar 2020,2020.0,20931.0,9485.0,15.14329049253612,1286.4781807006761,FCF Positive
AXISBANK,Mar 2021,2021.0,-41655.0,54288.0,85.70075458592493,-632.2859744990892,FCF Negative
AXISBANK,Mar 2022,2022.0,1025.0,27112.0,40.239250782908115,7.869481765834934,FCF Positive
AXISBANK,Mar 2023,2023.0,-10276.0,32351.0,37.986707998684885,-107.2651356993737,FCF Negative
AXISBANK,Mar 2024,2024.0,-14556.0,9001.0,8.229937185125584,-58.54953541691806,FCF Negative
AXISBANK,TTM,,,,,,FCF Negative
BAJAJ-AUTO,Mar 2013,2013.0,824.0,1394.0,6.961298377028714,26.300670284072776,FCF Positive
BAJAJ-AUTO,Mar 2014,2014.0,1430.0,2072.0,10.28951680985251,42.30769230769231,FCF Positive
BAJAJ-AUTO,Mar 2015,2015.0,1734.0,380.0,1.7596665894883075,57.30337078651685,FCF Positive
BAJAJ-AUTO,Mar 2016,2016.0,3622.0,68.0,0.30123150527155135,89.18985471558729,FCF Positive
BAJAJ-AUTO,Mar 2017,2017.0,-343.0,3610.0,16.593886462882097,-8.408923755822507,FCF Negative
BAJAJ-AUTO,Mar 2018,2018.0,2374.0,1954.0,7.7508925029750095,56.26925811803745,FCF Positive
BAJAJ-AUTO,Mar 2019,2019.0,2214.0,273.0,0.8992687265300744,44.92694805194805,FCF Positive
BAJAJ-AUTO,Mar 2020,2020.0,2084.0,1766.0,5.902603696647615,39.98465080583269,FCF Positive
BAJAJ-AUTO,Mar 2021,2021.0,251.0,2869.0,10.342092931040698,5.167799052913321,FCF Positive
BAJAJ-AUTO,Mar 2022,2022.0,3921.0,276.0,0.8327047820184039,63.59065844956211,FCF Positive
BAJAJ-AUTO,Mar 2023,2023.0,4066.0,1211.0,3.3219037169112604,67.0957095709571,FCF Positive
BAJAJ-AUTO,Mar 2024,2024.0,6486.0,72.0,0.16046356139959886,84.14634146341463,FCF Positive
BAJAJ-AUTO,Sep 2024,2024.0,,,,,FCF Negative
BAJAJ-AUTO,TTM,,,,,,FCF Negative
BAJAJFINSV,Mar 2013,2013.0,-9875.0,2953.0,36.660459342023586,-446.0252935862692,FCF Negative
BAJAJFINSV,Mar 2014,2014.0,-13571.0,3764.0,62.49377386684376,-619.3975353719762,FCF Negative
BAJAJFINSV,Mar 2015,2015.0,-14440.0,3709.0,32.721658579620645,-599.4188459941885,FCF Negative
BAJAJFINSV,Mar 2016,2016.0,-10681.0,886.0,4.315005113719379,-384.9009009009009,FCF Negative
BAJAJFINSV,Mar 2017,2017.0,-11073.0,151.0,0.6161504876157833,-320.95652173913044,FCF Negative
BAJAJFINSV,Mar 2018,2018.0,-20502.0,922.0,2.805672204978394,-490.94827586206895,FCF Negative
BAJAJFINSV,Mar 2019,2019.0,-33979.0,6903.0,16.20232367093064,-632.2850762932638,FCF Negative
BAJAJFINSV,Mar 2020,2020.0,-33317.0,9948.0,18.303251090136335,-555.8391725058391,FCF Negative
BAJAJFINSV,Mar 2021,2021.0,863.0,3684.0,6.0800105624504885,11.714402063255056,FCF Positive
BAJAJFINSV,Mar 2022,2022.0,-35115.0,1445.0,2.1123878022395695,-422.35987490979073,FCF Negative
BAJAJFINSV,Mar 2023,2023.0,-53425.0,13945.0,16.99117847743445,-437.5511875511876,FCF Negative
BAJAJFINSV,Mar 2024,2024.0,-79634.0,10960.0,9.929155115870342,-510.63802500801535,FCF Negative
BAJAJFINSV,Sep 2024,2024.0,,,,,FCF Negative
BAJAJFINSV,TTM,,,,,,FCF Negative
BAJAJHLDNG,Mar 2013,2013.0,104.0,369.0,109.49554896142433,5.603448275862069,FCF Positive
BAJAJHLDNG,Mar 2014,2014.0,353.0,519.0,122.69503546099291,17.756539235412475,FCF Positive
BAJAJHLDNG,Mar 2015,2015.0,332.0,464.0,88.54961832061069,16.362740266140957,FCF Positive
BAJAJHLDNG,Mar 2016,2016.0,128.0,1019.0,216.8085106382979,5.6512141280353205,FCF Positive
BAJAJHLDNG,Mar 2017,2017.0,-1295.0,372.0,44.180522565320665,-52.365547917509105,FCF Negative
BAJAJHLDNG,Mar 2018,2018.0,508.0,1123.0,267.38095238095235,19.133709981167605,FCF Positive
BAJAJHLDNG,Mar 2019,2019.0,465.0,163.0,37.81902552204176,15.255905511811024,FCF Positive
BAJAJHLDNG,Mar 2020,2020.0,1120.0,800.0,183.90804597701148,36.36363636363637,FCF Positive
BAJAJHLDNG,Mar 2021,2021.0,-36.0,308.0,67.39606126914661,-0.9852216748768473,FCF Negative
BAJAJHLDNG,Mar 2022,2022.0,1459.0,151.0,31.198347107438018,35.361124575860394,FCF Positive
BAJAJHLDNG,Mar 2023,2023.0,1591.0,137.0,26.245210727969347,32.16740800646987,FCF Positive
BAJAJHLDNG,Mar 2024,2024.0,1469.0,472.0,27.73207990599295,19.945689069925322,FCF Positive
BAJAJHLDNG,Sep 2024,2024.0,,,,,FCF Negative
BAJAJHLDNG,TTM,,,,,,FCF Negative
BAJFINANCE,Mar 2015,2015.0,-7424.0,360.0,6.6765578635014835,-826.7260579064589,FCF Negative
BAJFINANCE,Mar 2016,2016.0,-10557.0,687.0,9.412248253185368,-825.4104769351055,FCF Negative
BAJFINANCE,Mar 2017,2017.0,-13486.0,3047.0,30.561685055165494,-734.5315904139434,FCF Negative
BAJFINANCE,Mar 2018,2018.0,-21641.0,1075.0,8.434018515612742,-867.0272435897436,FCF Negative
BAJFINANCE,Mar 2019,2019.0,-34441.0,5379.0,29.09612159896143,-862.1026282853567,FCF Negative
BAJFINANCE,Mar 2020,2020.0,-33170.0,8758.0,33.20694623492834,-630.129179331307,FCF Negative
BAJFINANCE,Mar 2021,2021.0,-1236.0,429.0,1.6083680125970081,-27.963800904977376,FCF Negative
BAJFINANCE,Mar 2022,2022.0,-43437.0,6347.0,20.059416579754117,-618.0563460443939,FCF Negative
